region_id,date,area_m2,will_process,status,skip_reason,timestamp
region0,2023-06-30,10189.2,True,QUEUED,N/A,2026-02-05T10:06:25.360748
region0,2023-09-15,10189.2,True,QUEUED,N/A,2026-02-05T10:06:25.360748
region1,2023-06-30,3311.11,True,QUEUED,N/A,2026-02-05T10:06:25.360748
region1,2023-09-15,3311.11,True,QUEUED,N/A,2026-02-05T10:06:25.360748
region2,2023-06-30,25232.42,True,QUEUED,N/A,2026-02-05T10:06:25.360748
region2,2023-09-15,25232.42,True,QUEUED,N/A,2026-02-05T10:06:25.360748
region3,2023-06-30,37378.53,True,QUEUED,N/A,2026-02-05T10:06:25.360748
region3,2023-09-15,37378.53,True,QUEUED,N/A,2026-02-05T10:06:25.360748
region4,2023-06-30,22477.7,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region4,2023-09-15,22477.7,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region5,2023-06-30,6503.72,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region5,2023-09-15,6503.72,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region6,2023-06-30,19116.32,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region6,2023-09-15,19116.32,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region7,2023-06-30,29843.5,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region7,2023-09-15,29843.5,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region8,2023-06-30,30458.06,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region8,2023-09-15,30458.06,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region9,2023-06-30,10847.28,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region9,2023-09-15,10847.28,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region10,2023-06-30,21181.56,True,QUEUED,N/A,2026-02-05T10:06:25.361751
region10,2023-09-15,21181.56,True,QUEUED,N/A,2026-02-05T10:06:25.361751
