region_id,date,area_m2,will_process,status,skip_reason,timestamp
region0,2019-06-30,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2019-07-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2019-08-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2020-06-30,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2020-07-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2020-08-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2021-06-30,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2021-07-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2021-08-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2022-06-30,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2022-07-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2022-08-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2023-06-30,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2023-07-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region0,2023-08-31,10189.2,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2019-06-30,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2019-07-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2019-08-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2020-06-30,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2020-07-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2020-08-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2021-06-30,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2021-07-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2021-08-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2022-06-30,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2022-07-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2022-08-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2023-06-30,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2023-07-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region1,2023-08-31,3311.11,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2019-06-30,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2019-07-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2019-08-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2020-06-30,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2020-07-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2020-08-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2021-06-30,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2021-07-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2021-08-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2022-06-30,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2022-07-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2022-08-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2023-06-30,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2023-07-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region2,2023-08-31,25232.42,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2019-06-30,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2019-07-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2019-08-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2020-06-30,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2020-07-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2020-08-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2021-06-30,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2021-07-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2021-08-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2022-06-30,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2022-07-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2022-08-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2023-06-30,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2023-07-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region3,2023-08-31,37378.53,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2019-06-30,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2019-07-31,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2019-08-31,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2020-06-30,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2020-07-31,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2020-08-31,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2021-06-30,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2021-07-31,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
region4,2021-08-31,22477.7,True,QUEUED,N/A,2026-02-05T10:08:38.167185
